Pergunta,OpcaoA,OpcaoB,OpcaoC,OpcaoD,Correta
"""E nenhum residente dirá: estou doente. O povo que mora na terra será aquele a quem se perdoa o seu erro. Onde está escrito esse texto?",Isaias 31:24,Mateus 24:14,Romanos 6:12,Apocalipse 21:4,0
A que rei foi dito: tomai a vossa posição ficai parados e vede a salvação da parte de Jeová?,Acazias,Jeosafá,Abias,Jeorão,1
Quais os nomes dos meios irmãos de Jesus Cristo,"Tiago, Jose, Simão e Judas","Marcos, Lucas, João e Mateus","Tiago, Moises, Adão e Davi","Simã, Judas, Marcos e Lucas",0
"Com quantas tribos Roboão, filho de Salomao ficou?",1,2,3,4,1
Quem matou Abel?,Adão,Eva,Sete,Caim,3
Qual o nome do primeiro marido de Bete-Seba?,Davi,Urias,Eliabe,Salomão,2
A troco do que Esaú vendeu sua primogenitura?,Azeite,Mel,Balsamo,Lentilhas,3
Qual jovem ao ser comissionado por Jeová para servir como profeta disse: 'Ai Soberano Senhor Jeová! Eis que sou apenas um rapaz',Isaias,Jeremias,Ezequiel,Ageu,1
Qual o nome do secretário de Jeremias?,Ebimeleque,Jeosafá,Baruque,Acazias,2
Quantas pessoas estavam presentes ao evento que marcou o inicio da escolha dos 144 mil,12,300,144,120,3
Qual foi a segunda praga lançada sobre o Egito?,Rãs,Moscas,Furuncos,Piolho,0
Qual o nome do magico que ofereceu dinheiro aos apostolos para receber autoridade para dar espirito santo com o uso de suas mãos?,Barnabé,Simão,Lucas,Aristarco,1
Qual o atributo de Jeová representado por uma águia,Força,Justiça,Sabedoria,Coragem,0
"Niguem na humanidade pode domar. É uam coisa indiciplina e prejudicial, cheia de veneno. A que Tiago se referia nesta passagem?",Boca,Olhos,Nariz,Lingua,3
De qual tribo veio Jesus?,Judá,Rubem,Benjamim,Manassés,0
O que o numero 3 representa na Biblia?,Nada,Intensidade,Desteza,Força,1
Qual o nome da mãe de Timoteo?,Eunice,Eva,Maria,Rute,0
"Segundo Jesus, iguais a que animais os cristão devem ser para mostar inocencia e cautela?",Pardal e Aguia,Touro e Leão,Pomba e Serpente,Viboa e Rã,2
"Onde está escrito: 'Bem sei, ó Jeová, que o caminho do homem não pertence a ele. Não cabe ao homem nem mesmo dirigir os seus passos.'",1 Corintios 15:33,Salmo 83:18,Jeremias 10:23,Isaias 9:3,2
Qual o nome da mulher de Jope,Maria,Dorcas,Marta,Ligia,1
Quais são os nomes das 7 potencias descrita em Apocalipse,"Egito, Assiria, Babilonia, Medo-Persia, Grecia, Roma, Anglo-Americana","Egito, Siria, Babilonia, Persia, Grecia, Roma, Anglo-Americana","Egito, Assiria, Babilonia, Medo-Persia, Grecia, Roma, Estados Unidos","Egito, Assiria, Babilonia, Medo-Persia, Russia, Roma, Anglo-Americana",0
